participant,smart_device,smart_speaker_interest,smart_motion_detector_interest,smart_smoke_detector_interest,security_privacy_attribute,most_protective_value,least_protective_value,mostProtective_leastProtective_pair,willingness_to_purchase,willingness_to_purchase_coded,Reason for increase in willingness to purchase,Reason for decrease in willingness to purchase,risk_perception,risk_perception_coded,Reason for increase in risk perception,Reason for decrease in risk perception,minimum_willingness_to_pay,maximum_willingness_to_pay,order_scenario,correct_definition_number,Age,Gender,Income,Education,Background in Technology
23,speaker,Very interested,Very interested,Moderately interested,data sharing,shared_none,shared_manufacturer,none_manufact,no impact,3,,,no impact,3,,,-25,0,1,1,35,Woman,"$50,000 to $59,999",Some college but no degree,No
24,speaker,Moderately interested,Moderately interested,Moderately interested,security update,update_auto,update_manual,auto_manual,strongly decreases,1,,IF the devise is always looking for updates it creates a security issue.,strongly decreases,1,,"Has the potential to be exploited,",-25,-25,5,2,27,Man,"$60,000 to $69,999",Bachelor's degree in college (4-year),Yes
24,speaker,Moderately interested,Moderately interested,Moderately interested,access control,access_password,access_none,password_none,no impact,3,,NA,no impact,3,,,5,20,1,2,27,Man,"$60,000 to $69,999",Bachelor's degree in college (4-year),Yes
24,speaker,Moderately interested,Moderately interested,Moderately interested,purpose,purpose_main,purpose_money,main_money,strongly increases,5,My data isn't being exploited for the gain of another.,,strongly decreases,1,This allows the devise to learn and sell your data.,,25,25,3,1,27,Man,"$60,000 to $69,999",Bachelor's degree in college (4-year),Yes
24,speaker,Moderately interested,Moderately interested,Moderately interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,slightly increases,4,The less data that is potentially available to hackers the better.,,slightly decreases,2,no data stored on the cloud so someone would have to attack the device itself to harvest information.,,5,20,2,2,27,Man,"$60,000 to $69,999",Bachelor's degree in college (4-year),Yes
24,speaker,Moderately interested,Moderately interested,Moderately interested,data sharing,shared_none,shared_manufacturer,none_manufact,strongly increases,5,My data stays safe and will never be exploited.,,strongly increases,5,The device will only share date with the parent company which should protect my data.,,25,25,4,2,27,Man,"$60,000 to $69,999",Bachelor's degree in college (4-year),Yes
25,speaker,Very interested,Slightly interested,Moderately interested,security update,update_auto,update_manual,auto_manual,no impact,3,,,not sure,3,,,-5,25,3,1,35,Woman,"$100,000 to $149,999",Bachelor's degree in college (4-year),No
25,speaker,Very interested,Slightly interested,Moderately interested,access control,access_mfa,access_none,MFA_none,slightly increases,4,I appreciate security and privacy concerns being taken seriously,,slightly decreases,2,,people can't purchase items or change important settings without verification,5,15,1,1,35,Woman,"$100,000 to $149,999",Bachelor's degree in college (4-year),No
25,speaker,Very interested,Slightly interested,Moderately interested,purpose,purpose_main,purpose_money,main_money,strongly increases,5,I should control my data and this device should not profit off of it,,strongly decreases,1,,fewer companies could leak my data and the manufacturer is not invading privacy to make more money,25,25,5,2,35,Woman,"$100,000 to $149,999",Bachelor's degree in college (4-year),No
25,speaker,Very interested,Slightly interested,Moderately interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,strongly increases,5,fewer vulnerabilities,,strongly decreases,1,,less data available in the event of a leak,10,20,4,2,35,Woman,"$100,000 to $149,999",Bachelor's degree in college (4-year),No
25,speaker,Very interested,Slightly interested,Moderately interested,data sharing,shared_manufacturer,shared_third,manufact_third,strongly increases,5,I like to control where my info goes,,strongly decreases,1,,"I clicked the opposite answer, it should be strongly decreases as the third parties are the bigger risk",25,25,2,2,35,Woman,"$100,000 to $149,999",Bachelor's degree in college (4-year),No
26,speaker,Moderately interested,Very interested,Very interested,security update,update_manual,update_none,manual_none,strongly increases,5,i will have the option to manually install security updates if I deem them necessary and appropriate,,strongly decreases,1,having the option to manually install security updates deceases the privacy and security risks as the user can choose to install the necessary updates,,15,20,4,2,51,Man,"$100,000 to $149,999",Master's degree,No
26,speaker,Moderately interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,strongly increases,5,it is always good to have strong access control / security,,strongly decreases,1,,multi-factor authentication ensures that the device is not easily hacked or accessed by unauthorized users,20,25,1,1,51,Man,"$100,000 to $149,999",Master's degree,No
26,speaker,Moderately interested,Very interested,Very interested,purpose,purpose_main,purpose_personal,main_personal,slightly increases,4,if the data collected is only used to improve the device features and functionality then it is a good thing ,,slightly increases,4,"although the data collected is intended to only be used to improve device functions, there is always that the data collected may be misused and that will pose a privacy and security risk",,0,0,5,2,51,Man,"$100,000 to $149,999",Master's degree,No
26,speaker,Moderately interested,Very interested,Very interested,cloud storage,cloud_none,cloud_identify,none_identify,no impact,3,,,strongly decreases,1,,if the device has identifiable cloud storage then the identity of the user in revealed in the cloud which may present a privacy and security risk,0,25,2,1,51,Man,"$100,000 to $149,999",Master's degree,No
26,speaker,Moderately interested,Very interested,Very interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,,i don't like when my data is shared with third parties that can then used for marketing purposes,strongly decreases,1,,the less user data is shared the more privacy and security risks are reduced,0,0,3,2,51,Man,"$100,000 to $149,999",Master's degree,No
27,speaker,Moderately interested,Very interested,Very interested,security update,update_auto,update_none,auto_none,slightly increases,4,I would much rather it contain updates to keep the users protected. If no updates it could eventually pose a security risk.,,strongly decreases,1,,Updates are important to ensure the device is properly protected. If there were no updates it could eventually be at risk ,10,20,4,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
27,speaker,Moderately interested,Very interested,Very interested,access control,access_password,access_none,password_none,slightly increases,4,"I don't think a speaker particularly needs a password, but if it comes with it that is a good thing",NA,slightly decreases,2,,Passwords provide more protection and make it less risky,0,5,5,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
27,speaker,Moderately interested,Very interested,Very interested,purpose,purpose_personal,purpose_money,personal_money,slightly increases,4,I appreciate the fact that they are wanting to collect information to improve the device for its users. ,,no impact,3,,,10,15,2,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
27,speaker,Moderately interested,Very interested,Very interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,strongly increases,5,"If given the option, I would not want my data to be traced back to me for privacy reasons. ",NA,strongly decreases,1,,It protects the person who the data came from. If there was a leak the people whose data it is would not be at risk,10,20,3,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
27,speaker,Moderately interested,Very interested,Very interested,data sharing,shared_manufacturer,shared_third,manufact_third,no impact,3,,,slightly decreases,2,"The more people who have your information, the riskier your privacy and security becomes.",,5,10,1,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
28,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_manual,auto_manual,slightly increases,4,I don't have to do it myself,,slightly decreases,2,I don't have to do it myself,,5,10,1,1,28,Man,"$80,000 to $89,999",Bachelor's degree in college (4-year),No
28,speaker,Very interested,Very interested,Very interested,access control,access_password,access_none,password_none,strongly increases,5,it increases security,NA,strongly decreases,1,it increases security,,5,10,2,1,28,Man,"$80,000 to $89,999",Bachelor's degree in college (4-year),No
28,speaker,Very interested,Very interested,Very interested,purpose,purpose_personal,purpose_money,personal_money,slightly increases,4,,Would rather have privacy,slightly decreases,2,,would rather have privacy,0,0,5,1,28,Man,"$80,000 to $89,999",Bachelor's degree in college (4-year),No
28,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,strongly increases,5,My privacy is safe,,strongly decreases,1,,I would rather have storage than no storage. It's more convenient.,0,0,4,1,28,Man,"$80,000 to $89,999",Bachelor's degree in college (4-year),No
28,speaker,Very interested,Very interested,Very interested,data sharing,shared_manufacturer,shared_third,manufact_third,no impact,3,,,no impact,3,,,0,25,3,2,28,Man,"$80,000 to $89,999",Bachelor's degree in college (4-year),No
29,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_manual,auto_manual,no impact,3,,,no impact,3,,,-5,25,4,1,37,Man,"$10,000 to $19,999",Some college but no degree,Yes
29,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,no impact,3,,,no impact,3,,,-25,5,5,2,37,Man,"$10,000 to $19,999",Some college but no degree,Yes
29,speaker,Very interested,Very interested,Very interested,purpose,purpose_personal,purpose_money,personal_money,slightly increases,4,"Although it is a slight breach of privacy, it would definitely allow me to have a custom device that was tailored to my preferences.",,slightly increases,4,Anything that collects data has an inherent risk that the data collected would be used against me or for things I had not expected.,,0,5,3,2,37,Man,"$10,000 to $19,999",Some college but no degree,Yes
29,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_identify,none_identify,strongly increases,5,"My data will be more safe the fewer other locations it ends up, especially if it would be identifiable to me, personally.",,strongly decreases,1,,"Although the company can still use my data as they want, I would know that no third party is picking it up along the way while it is stored in someone else's computer.",0,5,2,1,37,Man,"$10,000 to $19,999",Some college but no degree,Yes
29,speaker,Very interested,Very interested,Very interested,data sharing,shared_manufacturer,shared_third,manufact_third,slightly increases,4,"I trust the company much more than I do people who are willing to buy my data, even though I know a company might be selling the data I choose to share with it anyway.",,slightly increases,4,"The company might still use my data in unscrupulous ways, like selling it to ad companies, or they might use it to collect personal information about me that is outside of what I would have expected them to collect.",,0,5,1,2,37,Man,"$10,000 to $19,999",Some college but no degree,Yes
30,speaker,Very interested,Very interested,Very interested,security update,update_manual,update_none,manual_none,slightly increases,4,I appreciate being given the choice of whether or no i want to manually download the security updates ,,no impact,3,,,0,5,1,1,37,Woman,"$70,000 to $79,999",Bachelor's degree in college (4-year),No
30,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_password,MFA_password,strongly increases,5,security and protecting access to my device is a huge thing for me,,strongly decreases,1,i like to have multiple options to access my device especially with kids,,0,0,4,1,37,Woman,"$70,000 to $79,999",Bachelor's degree in college (4-year),No
30,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_money,main_money,strongly increases,5,,I do not want my data used for monetization without my permission ro just in general,not sure,3,,,0,0,2,2,37,Woman,"$70,000 to $79,999",Bachelor's degree in college (4-year),No
30,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,no impact,3,,NA,not sure,3,,,0,5,5,0,37,Woman,"$70,000 to $79,999",Bachelor's degree in college (4-year),No
30,speaker,Very interested,Very interested,Very interested,data sharing,shared_manufacturer,shared_third,manufact_third,strongly increases,5,,I do not agree with this and do not want the company sharing my information without being compensated or made aware fo what its for,not sure,3,,,0,0,3,2,37,Woman,"$70,000 to $79,999",Bachelor's degree in college (4-year),No
31,speaker,Moderately interested,Moderately interested,Moderately interested,security update,update_auto,update_none,auto_none,slightly increases,4,"By receiving automatic security updates I am more confident that the product, and my data associated with the product, will remain safe and protected against any security attacks. ",,strongly decreases,1,,"By automatically updated the security of the device, I know that the device is staying up to date with the latest safety means available. My data and my device will be safe and secure without any assistance from me. ",15,20,1,2,32,Woman,"$30,000 to $39,999",Master's degree,No
31,speaker,Moderately interested,Moderately interested,Moderately interested,access control,access_password,access_none,password_none,strongly increases,5,I will be able to control who has access to the data gathered by the Model X. This gives me better security as a consumer. ,NA,strongly decreases,1,,"Having a changeable default password allows the user to ensure that no one without the password will be able to access the data, increasing the privacy and security available. ",25,25,5,2,32,Woman,"$30,000 to $39,999",Master's degree,No
31,speaker,Moderately interested,Moderately interested,Moderately interested,purpose,purpose_main,purpose_personal,main_personal,strongly increases,5,"When I make a purchase for a smart device, it is very important to me that my data is being used to improve the device itself, and not being used in a way to change how the device operates based on what the manufacturer thinks I want. ",,no impact,3,,,15,20,2,2,32,Woman,"$30,000 to $39,999",Master's degree,No
31,speaker,Moderately interested,Moderately interested,Moderately interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,strongly increases,5,"The model X having de-identified cloud storage means that none of my identifiable data will be available for interception, thus keeping me and my data more secure. ",NA,strongly decreases,1,,Ensuring that there is no identifiable data available decreases my personal risks for data interception,25,25,4,2,32,Woman,"$30,000 to $39,999",Master's degree,No
31,speaker,Moderately interested,Moderately interested,Moderately interested,data sharing,shared_none,shared_manufacturer,none_manufact,strongly increases,5,"Personally, I am not a huge fan of my data being collected and sent to anyone. I feel this is a strong breach of privacy and security. Ensuring that the data is not sent anywhere increases my security. ",,strongly decreases,1,,By ensuring the data is not shared with anyone it greatly decreases the risks of privacy and security risks by keeping the data from being intercepted or used by the unintended. ,25,25,3,2,32,Woman,"$30,000 to $39,999",Master's degree,No
32,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_manual,auto_manual,no impact,3,,,slightly decreases,2,,It is just much easier to have automatic updates on all of your devices. It is the safest way to enjoy technologies.,-25,5,3,2,38,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),No
32,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_password,MFA_password,no impact,3,,,slightly decreases,2,,Passwords are constantly bought and sold and traded on various websites. I think a multi-factor authorization is safer but a giant pain. ,-5,25,1,2,38,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),No
32,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_money,main_money,slightly increases,4,Everyone is sick of the endless advertisements all the time- I cannot imagine a smart speaker telling me to buy something. ,,slightly decreases,2,"Again, everyone is sick of being marketed to. I would much rather my data go to improving the product I am using than lining someone's pockets. With the monetization gone, you know that you are being treated as a valued user of the product rather than a n",,0,5,5,2,38,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),No
32,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_identify,none_identify,no impact,3,,,no impact,3,,,-5,25,4,1,38,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),No
32,speaker,Very interested,Very interested,Very interested,data sharing,shared_none,shared_third,none_third,no impact,3,,,no impact,3,,,-5,25,2,2,38,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),No
33,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_none,auto_none,strongly increases,5,I don't have to worry about updating it myself.,,strongly decreases,1,,Doesn't sound safe,25,25,3,2,24,Woman,"$50,000 to $59,999",Bachelor's degree in college (4-year),No
33,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,slightly increases,4,I like the extra security that comes with multi-factor authentication. ,,slightly decreases,2,,Multi-factor authentication requires password or verification factors only you would have/know whereas no control over access would allow someone to access the speaker without authentication. ,25,25,1,1,24,Woman,"$50,000 to $59,999",Bachelor's degree in college (4-year),No
33,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_personal,main_personal,no impact,3,,,no impact,3,,,25,25,2,2,24,Woman,"$50,000 to $59,999",Bachelor's degree in college (4-year),No
33,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_identify,none_identify,strongly increases,5,My personal data won't be saved or used by unwanted parties. ,,strongly decreases,1,Personal data will not be saved or used by unwanted parties. ,,25,25,4,1,24,Woman,"$50,000 to $59,999",Bachelor's degree in college (4-year),No
33,speaker,Very interested,Very interested,Very interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,Privacy is a good feature. ,,not sure,3,,,25,25,5,2,24,Woman,"$50,000 to $59,999",Bachelor's degree in college (4-year),No
34,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_manual,auto_manual,strongly increases,5,The device will receive automatic updates rather than manually.,,strongly decreases,1,,The user need to manually install the updates which can be time consuming.,25,25,3,0,62,Woman,"Less than $10,000",Some college but no degree,No
34,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_password,MFA_password,strongly increases,5,,"having different passwordÂ means thatÂ passwordÂ isÂ requiredÂ toÂ access the device settings or dataÂ andÂ user may change that password.

",strongly decreases,1,two passwords are used to access data.,,-25,-25,5,0,62,Woman,"Less than $10,000",Some college but no degree,No
34,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_money,main_money,no impact,3,,,strongly decreases,1,,"Collected data can be risky personal information,",-25,0,1,0,62,Woman,"Less than $10,000",Some college but no degree,No
34,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,slightly increases,4,,no cloud storage means that collected data will not be stored in the cloud.,strongly decreases,1,de-identified cloud storage means that data stored in the cloud does not have personal information.,,-25,-25,2,0,62,Woman,"Less than $10,000",Some college but no degree,No
34,speaker,Very interested,Very interested,Very interested,data sharing,shared_manufacturer,shared_third,manufact_third,strongly increases,5,The data will be shared only with the manufacturer.,,strongly decreases,1,,shared data will be shared with the manufacturer and another party.,25,25,4,0,62,Woman,"Less than $10,000",Some college but no degree,No
35,speaker,Very interested,Moderately interested,Moderately interested,security update,update_auto,update_none,auto_none,slightly increases,4,I want to know when security updates are available so that I can choose to update it. I likely will not go out of my way to regularly check for updates otherwise. ,,slightly decreases,2,,Security updates should help close the gap on ongoing security risks,5,15,2,2,34,Woman,"$150,000 or more",Master's degree,No
35,speaker,Very interested,Moderately interested,Moderately interested,access control,access_password,access_none,password_none,strongly increases,5,not having a password is not secure at all,NA,strongly decreases,1,again having no password is not secure at all,,15,25,5,1,34,Woman,"$150,000 or more",Master's degree,No
35,speaker,Very interested,Moderately interested,Moderately interested,purpose,purpose_personal,purpose_money,personal_money,slightly increases,4,Knowing that they are not collecting my personal data for ads and/or to sell to other third party companies where I do not want my data sent to makes me trust this company slightly more,,slightly decreases,2,,"Not selling my data to third party likely slightly decreases the privacy/security risks, however just collecting and storing this data still poses risks",5,15,1,2,34,Woman,"$150,000 or more",Master's degree,No
35,speaker,Very interested,Moderately interested,Moderately interested,cloud storage,cloud_none,cloud_identify,none_identify,no impact,3,,,no impact,3,,,0,10,4,2,34,Woman,"$150,000 or more",Master's degree,No
35,speaker,Very interested,Moderately interested,Moderately interested,data sharing,shared_none,shared_manufacturer,none_manufact,no impact,3,,,slightly decreases,2,,If it is actually true that the data is not being shared then that may increase privacy (but that would need to mean the the data is not being collected or stored at all),-5,25,3,2,34,Woman,"$150,000 or more",Master's degree,No
36,speaker,Moderately interested,Moderately interested,Moderately interested,security update,update_auto,update_manual,auto_manual,strongly increases,5,Most users are lazy and will not update the devise as required.,,strongly decreases,1,Security updates keeps the device optimized with the latest security data which protects the consumers privacy. ,,25,25,4,2,56,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
36,speaker,Moderately interested,Moderately interested,Moderately interested,access control,access_mfa,access_none,MFA_none,strongly increases,5,Protect the user from unauthorized use of the device.,,strongly decreases,1,Protects the user private data and gives an additional layer of security from unauthorized access.,,25,25,2,2,56,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
36,speaker,Moderately interested,Moderately interested,Moderately interested,purpose,purpose_main,purpose_money,main_money,strongly increases,5,Monetization increases the MFG potential to misuse personal privacy data. ,,strongly decreases,1,,Making money from selling personal data increases the inappropriate use of personal data and reduces security.,25,25,3,1,56,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
36,speaker,Moderately interested,Moderately interested,Moderately interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,strongly decreases,1,,There is increased security with de-identified cloud storage,strongly decreases,1,,less security,-25,-25,5,0,56,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
36,speaker,Moderately interested,Moderately interested,Moderately interested,data sharing,shared_manufacturer,shared_third,manufact_third,strongly increases,5,,The consumer has more flexibility to sue or use legal avenues for compensation against the manufacturer rather than against unknown third parties.,no impact,3,,,0,0,1,1,56,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
37,speaker,Very interested,Very interested,Very interested,security update,update_manual,update_none,manual_none,strongly increases,5,"It is important to have security on ""smart"" devices",,strongly decreases,1,"Yes it will try to make the owner of the device update the firmware but there should be a notification every week, especially if they have 4 or more of your smart devices and if they are all connected that is a great security risk.",,25,25,5,2,20,Man,"$10,000 to $19,999",High school graduate (high school diploma or equivalent including GED),Yes
37,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_password,MFA_password,strongly increases,5,This is a very good idea because it limits the end users typical mistake of not changing the default password.,,strongly increases,5,There are still ways around multi-factor authentication. Social Engineering for example is one and with telephone numbers it is possible to route someones text messages so a scammer could put in a code. And email authentication is also kinda flawed becaus,,15,25,2,2,20,Man,"$10,000 to $19,999",High school graduate (high school diploma or equivalent including GED),Yes
37,speaker,Very interested,Very interested,Very interested,purpose,purpose_personal,purpose_money,personal_money,slightly increases,4,"I am not sure what info is used for personalization. Info is how a person can socially engineer someone and scam them if this data was ever obtained illegally or inside your corporation and then sold on forums on the darkweb. So i am not a big fan of ""per",,slightly increases,4,Main device function updates are fine and crash reports as long as there is no personal information associated with the report. The main thing with personalization is the fact this data could still be sold under the nose of the company and then used by sc,,25,25,1,2,20,Man,"$10,000 to $19,999",High school graduate (high school diploma or equivalent including GED),Yes
37,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_identify,none_identify,strongly increases,5,Because I don't want my information to be sold. It's a one sided coin where I give up my info to use your device that I paid for then you continue to make money off of me through that info. It is a very sad thing to do.,,strongly decreases,1,"With a speaker you wouldnt really need storage unless if it comes with a SSD so you could put your songs,podcasts etc on it so no cloud storage is a very good thing to have to protect your privacy ",,25,25,4,1,20,Man,"$10,000 to $19,999",High school graduate (high school diploma or equivalent including GED),Yes
37,speaker,Very interested,Very interested,Very interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,"Because I don't want any more stress in my life and knowing someone is making money off of my data without even knowing. some companies will put it hidden in their policy booklet that people rarely read. if a company made a product and put on the box ""We ",,strongly decreases,1,Because third parties and your company would not be able to see too much personal info that you can then use to sell,,25,25,3,1,20,Man,"$10,000 to $19,999",High school graduate (high school diploma or equivalent including GED),Yes
38,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_none,auto_none,slightly increases,4,I like when a device has adaptability. ,,slightly decreases,2,,Any leaks or exploits can be patched. ,25,25,5,2,18,Man,Prefer not to answer,Some college but no degree,No
38,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,strongly increases,5,I like the ability to have more options for security.,,strongly decreases,1,,It makes it so not just anybody can access the device.,25,25,4,0,18,Man,Prefer not to answer,Some college but no degree,No
38,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_personal,main_personal,slightly increases,4,I think that the personalization is just getting targeted ads.,,slightly decreases,2,Some people could feel as if their data is being used against them or being sold.,,25,25,2,2,18,Man,Prefer not to answer,Some college but no degree,No
38,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,slightly increases,4,I,NA,strongly decreases,1,,It won't infringe on your privacy as much as it would with identifiable cloud storage.,25,25,1,2,18,Man,Prefer not to answer,Some college but no degree,No
38,speaker,Very interested,Very interested,Very interested,data sharing,shared_manufacturer,shared_third,manufact_third,no impact,3,,,no impact,3,,,-25,25,3,2,18,Man,Prefer not to answer,Some college but no degree,No
39,speaker,Moderately interested,Moderately interested,Moderately interested,security update,update_auto,update_manual,auto_manual,slightly decreases,2,,I like having control over my devices.,strongly decreases,1,Terms of Service are subject to be changed.  Being in control of updates is important for user protection.,,-25,-25,1,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),Yes
39,speaker,Moderately interested,Moderately interested,Moderately interested,access control,access_mfa,access_password,MFA_password,no impact,3,,,strongly decreases,1,,It decreases the risk by a significant amount by having multiple layers of protection.,25,25,4,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),Yes
39,speaker,Moderately interested,Moderately interested,Moderately interested,purpose,purpose_main,purpose_money,main_money,slightly increases,4,I'm not a fan of my usage being sold for profit if that means that I don't receive a portion of profit myself.,,slightly increases,4,"Again, there is always a risk when providing anyone any kind of data.",,25,25,3,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),Yes
39,speaker,Moderately interested,Moderately interested,Moderately interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,no impact,3,,,strongly decreases,1,Whether or not the company is being faithful there is always a risk of data being used for negative purposes.,,-25,5,2,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),Yes
39,speaker,Moderately interested,Moderately interested,Moderately interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,"Assuming truthfulness, I like the idea of no data being shared.",,strongly decreases,1,,Decreases the risk only if being followed.,25,25,5,2,28,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),Yes
40,speaker,Very interested,Very interested,Moderately interested,security update,update_auto,update_none,auto_none,strongly increases,5,"Company is taking care the software, and keep updating for the customers",,strongly decreases,1,Update will fix the bugs,,0,5,1,0,28,Man,"$90,000 to $99,999",Bachelor's degree in college (4-year),Yes
40,speaker,Very interested,Very interested,Moderately interested,access control,access_mfa,access_password,MFA_password,strongly increases,5,safty,,strongly decreases,1,more security ,,0,5,5,1,28,Man,"$90,000 to $99,999",Bachelor's degree in college (4-year),Yes
40,speaker,Very interested,Very interested,Moderately interested,purpose,purpose_personal,purpose_money,personal_money,strongly increases,5,Not selling my information,,strongly decreases,1,Safe,,0,5,4,1,28,Man,"$90,000 to $99,999",Bachelor's degree in college (4-year),Yes
40,speaker,Very interested,Very interested,Moderately interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,slightly increases,4,personal information will not be released,NA,slightly decreases,2,,keep personal information,0,5,3,1,28,Man,"$90,000 to $99,999",Bachelor's degree in college (4-year),Yes
40,speaker,Very interested,Very interested,Moderately interested,data sharing,shared_manufacturer,shared_third,manufact_third,slightly decreases,2,,Manufacturer will receive my device information,slightly decreases,2,,leak my personal data,0,0,2,2,28,Man,"$90,000 to $99,999",Bachelor's degree in college (4-year),Yes
41,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_none,auto_none,strongly decreases,1,,I want to be able to manually turn on or off the update features regardless if it's security updates or not,not sure,3,,,-10,-5,5,1,30,Man,"$150,000 or more",Bachelor's degree in college (4-year),Yes
41,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,strongly increases,5,"Knowing that my privacies are protected through multi-factor authentication method, I am more likely to purchase and to use the product",,strongly decreases,1,"I mean it's a speaker and household member can still hear all the information, right?",,5,10,2,0,30,Man,"$150,000 or more",Bachelor's degree in college (4-year),Yes
41,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_money,main_money,strongly increases,5,"By knowing my personal data is not being exploited or sold for marketing or monetization purposes, I am more confident to purchase and use this product.",,not sure,3,,,5,10,1,2,30,Man,"$150,000 or more",Bachelor's degree in college (4-year),Yes
41,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_identify,none_identify,slightly increases,4,The data will not be stored through cloud and identifiable. That means my personal information are protected and I am more likely to purchase and use the speaker,,strongly decreases,1,,If it's stored through the cloud and if it's identifiable. That means someone may be able to access it,5,10,4,1,30,Man,"$150,000 or more",Bachelor's degree in college (4-year),Yes
41,speaker,Very interested,Very interested,Very interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,I know my data will not be shared and I am more confident to purchase and use the product,,strongly decreases,1,,"Since our data are not shared, there shouldn't be any privacy concerns regarding collected the data and shared with third parties",5,10,3,2,30,Man,"$150,000 or more",Bachelor's degree in college (4-year),Yes
42,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_manual,auto_manual,strongly increases,5,Its so because the best choice of update is made available seamless and stressfree ,,strongly decreases,1,This is because the update comes without notice so it'd be hard for attackers to attack it,,25,25,2,1,25,Woman,"$150,000 or more",Master's degree,Yes
42,speaker,Very interested,Very interested,Very interested,access control,access_password,access_none,password_none,strongly increases,5,It's so because I can limit it's access to third parties,NA,strongly decreases,1,It's so because the passwords could be changed as many times as desired and as such increasing the security of the device,,25,25,5,2,25,Woman,"$150,000 or more",Master's degree,Yes
42,speaker,Very interested,Very interested,Very interested,purpose,purpose_personal,purpose_money,personal_money,slightly increases,4,It's so because my preferences is being considered and taken note of,,slightly decreases,2,It's so because the data collected is used to improve the product ,,15,25,4,1,25,Woman,"$150,000 or more",Master's degree,Yes
